Track,Alternate take,Catalog,Recorded,1st BN Release,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Blues, Part 1",FALSE,Blue Note 8; Mosaic MR3-103,1939,1939,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Blues, Part 2",FALSE,Blue Note 8; Mosaic MR3-103,1939,1939,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Blues, Part 3",FALSE,Blue Note 9; Mosaic MR3-103,1939,1939,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Blues, Part 4",FALSE,Blue Note 9; Mosaic MR3-103,1939,1939,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boogie Woogie Stomp,FALSE,Blue Note 2; BLP 7017; BST 89902; Mosaic MR3-103,1939,1939,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago In Mind,FALSE,Blue Note 4; BLP 7017; Mosaic MR3-103,1939,1939,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suitcase Blues,FALSE,Blue Note 21; BLP 7017; Mosaic MR3-103,1939,1983,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boogie Woogie Blues,FALSE,Blue Note 2; BLP 7017; Mosaic MR3-103,1939,1983,ISSUED,Meade 'Lux' Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Blues, Part 5",FALSE,Mosaic MR3-103,1939,1939,ISSUED,Albert Ammons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Untitled Lewis Original,FALSE,Mosaic MR3-103,1939,1939,ISSUED,Albert Ammons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melancholy,FALSE,Blue Note 1; Mosaic MR3-103,1939,1939,ISSUED,Albert Ammons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
