ID,Label
1,Sabu' Martinez
2,Neal Creque
3,Roger Kellaway
4,Francisco Centeno
5,Charles Owens
6,Mayra Caridad Valdés
7,Michele Buca
8,Orchestre Symphonique De Sofia
9,Keith Underwood
10,Joseph Katina
11,Robert Clayborne
12,Ned Edwards
13,Don Byron Sr.
14,James 'Blood' Ulmer
15,Michael Arnopol
16,Tammy Thomas
17,Sam Mims
18,Clydie King
19,Chan Johnson
20,Rick Margitza
21,Gary Brown
22,Jacob Andersen
23,Christine Vlajk
24,Aloysius Foster
25,Magnus Öström
26,Yaroldi Abreu Robles
27,George Koller
28,Makoto Ozone
29,Joseph Bowie
30,Eric Tagg
31,Kahil El'Zabar
32,Monk Higgins
33,Ruud Breuls
34,Reynaldo Melian
35,Jimmie Smith
36,Bob Stewart
37,Marcus Printup
38,Gary Herbig
39,Mads Vinding
40,Topi Lehtipuu
41,Mamie Galore
42,John Lee
43,Teri Lynne Carrington
44,Gene Lobianco
45,Linley Marthe
46,Jackie Lustgarten
47,Jean DuShon
48,Lee C. Thomas
49,Arthur Taylor
50,Ulf Wakenius
51,Nathaniel Phillips
52,Kirk Whalum
53,Bobby Sparks
54,Steve Huffsteter
55,Jerry Lloyd
56,Harold Ivory Williams IV
57,Joe McDuphrey
58,Curtis Dowd Jr.
59,Robin Kenyatta
60,Fred Pagani
61,The Los Angeles Philharmonic Orchestra
62,Peter Dimitriades
63,J.J. Cale
64,Jeff Andrews
65,Alexander Murray
66,Ratzo B. Harris
67,Kenny O'Brien
68,Lawrence Williams
69,David Ralicke
70,Suzanne Vega
71,Jeff Chambers
72,Bernard Baron
73,Alan 'Sticky' Wicket
74,Artie Kane
75,Riku Niemi 
76,Robbie Kondor
77,Grupo Changüí De Guantánamo
78,Rosario Rizzo
79,David Statham
80,Joel L. Kaye
81,Bill Evans - saxophonist
82,John Beasley
83,Osie Johnson
84,Sunny Morgan
85,Karl Denson
86,Sarah Baro
87,Chris Parker
88,Mark Sherman
89,Larry Steele
90,Jaron Olevsky
91,Ralph Schaeffer
92,Brian Bromberg
93,Melvin Sparks
94,André Fernandes
95,Love Child
96,Ron Miles
97,Jim Horn
98,Kenny Loggins
99,Kari Kriikku
100,Peter Gordeno
101,Gonzalo Rubalcaba
102,Pekka Kuusisto
103,Tommy Turrentine
104,Henry Pearson
105,Clayton Cameron
106,Roger Sainte
107,Booker Rowe
108,Charles Baldwin
109,Ornette Coleman
110,Tariq 'Black Thought' Trotter
111,Amos Lee
112,Ted Dunbar
113,Christine Spencer
114,G-Knight
115,Otto Van Den Toorn
116,Cherub Femmes & Two Cherub Mens
117,Palle Danielsson
118,Clifford Jordan
119,Shadow Wilson
120,Israel Moises 'Quique' Travieso
121,George Bohannon
122,Les McCann
123,B.B. King
124,Austin Cromer
125,Michele Rosewoman
126,Stephanie McKay
127,Robbie Krieger
128,Rabbit Edmonds
129,Greg Dalton
130,Matt Holland
131,Bobby Broom
132,Lance Bryant
133,Oliver 'Rev.' Mesheux
134,Pheeroan ak Laff
135,Barry Rogers
136,Earl Van Dyke
137,Russians
138,Bridgette Bryant
139,Paul McCandless
140,Marc Johnson
141,Johnny Griffin
142,Eugene Bianco
143,Benny Powell
144,Till Brönner
145,Jina Sumedi
146,Alê Siqueira
147,Bill Sharpe
148,Keith Robertson
149,Irvin Stokes
150,Bob Green
151,Joe Smith
152,Sylvan Richardson
153,Hubert Eaves
154,George Joyner
155,Petri Keskitalo
156,Lee Thornburg
157,Francesco Bearzatti
158,Marc Berthoumieux
159,Gigi Gryce
160,Ronnell Bright
161,Lloyd Thompson
162,Danny Martucci
163,Claude Nougaro
164,Scotty Barhart
165,Gracie Ridgeway
166,Wint Garvey
167,Bruce Flowers
168,David Lynch
169,Ted Sommer
170,Mark Levine
171,Gino Paoli
172,Mino Cinelu
173,Daniel Gilbert
174,Tom Scott
175,Eddie McFadden
176,Nicolas Montazaud
177,Horace Parlan
178,Jon Faddis
179,Al Harewood
180,Mark Turner
181,Philip Hamilton
182,Remko De Jager
183,Aydın Kahya
184,Gwen Snyder
185,Jim Campilongo
186,Larry Sieberth
187,Joe Shepley
188,Charlie Russo
189,Louis Hayes
190,Jasper Van T'Hoff
191,Stan Levey
192,Ray Diehl
193,Tony Maiden
194,Sam Rivers
195,George Thatcher
196,William Norwood
197,Bill Roper
198,Essiet Okon Essiet
199,Fred Jackson
200,Leandro 'Gato' Barbieri
201,Joe Hall
202,Joey Waronker
203,Robert Glasper
204,Howard Hewitt
205,Milt Jackson
206,Robbie Montgomery
207,Jay Anderson
208,Zakir Hussain
209,Jane Bunnett
210,Greg Tardy
211,Ira Sullivan
212,Önder Focan
213,Urbie Green
214,Bob James
215,James Moody
216,Raymond Williams
217,Marcos Salon
218,Elizabeth Wilson
219,Craig McMullen
220,Kai
221,Louise Schulman
222,Simon Oswell
223,Ian Martin
224,Keith Donald
225,Dave Chamberlain
226,Giovanni Hidalgo
227,Patti Austin
228,Miles Davis
229,Claus Bernatzki
230,Levon Helm
231,Geovanis Alcántara López
232,Cornelius Mims
233,Michael Pellera
234,Steve Davis
235,Toby Appel
236,Stu Martin
237,Daniele 'Bengi' Benati
238,Danilo Rea
239,Johnny Mathis
240,Tiziano Panchetti
241,Jorge Del Barrio
242,Abraham Adenzenya
243,Ed Williams
244,Miroslav Vitous
245,Michael Baker
246,Deborah Brown
247,Willie Jones
248,Merry Clayton
249,Freddie Washington
250,Glenn Wilson
251,Gregory Hines
252,Charles Veal
253,John Fohl
254,Thierry Fanfant
255,Emmanuel Boyd
256,Dan Nimmer
257,Loic Pontieux
258,Chuck Israels
259,Al Porcino
260,Jim Anderson
261,Johnny Rodriguez
262,Harry 'Sweets' Edison
263,Lars Danielsson
264,Roger Glenn
265,Ben Goldberg
266,Carlos Villalobos
267,Errol 'Crusher' Bennett
268,Ronghea Southern
269,Frank Emilio Flynn
270,Lionel Cordew
271,Dionne Warwick
272,Tessa Niles
273,Ken Brader III
274,Lou Kievman
275,Pigmeat' Alamo Markham
